,sample,feas,objective_function
0,"[-876.85213001  469.87005829  619.77101187  433.21956426 -762.0568866
 -963.15106828  219.14913351  485.52123921 -445.40838154 -370.24406571
  251.72447191 -311.55881682  587.43375982 -504.58658246  468.41128229
  687.40907028 -903.3280222  -542.09548383  398.71006284  875.57307995
  912.98672508  991.76891791  183.09505675  123.67386578  922.94255966
  710.80417518  694.86483853  155.1499127   103.98528205  541.40691179
  574.33748411  446.65163083  641.21197177  779.93286707 -557.84648768
  806.66640797  242.37461689  261.58144022  907.80951529  145.2728517
  403.64114117  631.74557855  238.89265409  420.53942876  924.27486143
 -640.84947756  285.85887345  -61.80732475 -681.19823844  684.5602827
  920.1832079   245.03098943  329.98222447  841.66574603  704.92212508
  -66.24257159  220.28397983  317.31500714  726.22942181  685.86701034
  881.45102379  274.76898548  835.24147447 -167.96658433  178.50725612
  795.08257353  844.54271255  732.51505445 -435.50352102 -476.06883417
  916.83434188  635.40247443  888.64002343  467.93089459 -375.54815248
  843.85831883 -657.8133959  -648.67814732  674.34686675  524.26333451
  867.9470193   547.79872198  628.0510448  -476.94289202 -848.52161162
  -39.34362224  848.79464492  883.19080769   11.60773481  401.430502
 -188.81793533  943.33249094  828.89115898 -603.51998561 -779.86591781]",0,
0,"[ 838.95634685 -871.81756467  218.98663882 -315.0019068   990.26146561
  578.92449577  983.62160852  243.48666608 -841.28894509 -610.31531293
  313.25159752 -667.08427534  718.09513302  262.42423152  369.65809093
  550.07911409  847.61158013  866.39073461  746.61449269  658.08752059
   72.23320421   74.94211728 -846.59961621  454.20176057  287.50941992
  930.94371321  976.92960351  174.24879535  940.2011647   614.16042568
 -432.74029862   74.57840204   66.79936884  589.36365249 -620.79159373
   79.89021352 -933.74013021  992.25486548  614.46154066  506.60325831
  836.37349752  984.5206153   674.43126135  846.20629542  820.27387876
  339.95336733  812.40271849  134.69230216  795.02742403  738.02452676
  478.96708256  430.99134422 -839.5382023   379.55194653  978.68535336
 -865.69987694  497.78193311  -92.21178603  892.63581474  986.9671189
  485.67341694  854.19313338  711.49465847 -963.9312997   462.76489322
   48.63754663  532.01380591  988.84049693 -465.02317392  350.817684
  708.37200078  559.04975228  225.04822783 -277.01492918  782.4482933
  786.56742813  605.82922587  734.15420322  810.83199685  209.86693951
   81.54187226  793.75313607  272.2574743   582.57307098  -57.63058833
  982.12222595  251.39636054  485.08289671  918.86830304  -33.0341282
 -419.7504534    16.88214082  192.928137    352.99632847  851.85425578]",0,
0,"[ 178.23308934 -539.81391609 -227.4770744   863.20640881 -710.53962435
 -573.46176738 -422.51362754  212.10100405  854.29994958 -957.58403254
  549.08651997 -863.88292181  701.12293795  894.35792377    5.43735052
  962.11830614 -946.43619012   50.79959981 -653.53739605  799.27894362
  440.84065553  522.17045219 -253.29940966  766.12647425  324.38571552
  601.70870548  424.23852161   31.82283883  766.5969019   825.80193058
  853.04314278 -587.29301127   88.53375249  571.05954099 -940.30015954
 -745.8482038   367.67260565  402.01124521  397.19389635 -271.74528769
  165.21748632  759.44262293  427.69076183  246.26867382  410.48926673
 -779.09367427  364.88659733 -937.92897747  -54.68559679  772.40935065
  148.30443794   17.29067913 -287.1548189   312.394349     72.76765053
 -266.71833915  268.16311125  288.38082535 -117.98646789  689.12293545
  741.45654465   50.33876954  263.37727359  -86.23000677  695.01784221
   83.19228269    1.39842555  543.20335318 -224.41580524 -317.5296987
  506.41126784  239.86354271  611.44626883 -927.07367381  -39.23379543
  380.73612503 -911.10228919  347.71807132   26.24783237  267.25837662
  615.42343928 -967.36934031  474.98619448  372.67908624 -273.51012408
 -330.03046776  320.18737911  470.0312389   431.49527577 -524.81507193
 -327.39799611  235.65495603 -445.02389833 -730.53373682   71.07003708]",0,
0,"[-491.80543418 -983.893298    -58.58391777  699.99564357  254.24252094
 -728.5923314  -727.19887608  161.7421562   575.33726113  621.71532349
  635.25402276  976.2719593   169.5065861   872.7221175   407.47201278
  203.70548596 -259.55371673 -321.87681145  462.08570045  721.20526017
  445.71493023  456.80753052  123.06428124  198.36829658  990.05851117
   45.92539012  502.6588418   602.62194498  418.03373887   87.72170363
  288.07361704 -434.42273539  245.95364814   61.214858    647.27266824
 -888.86496632  678.50203415  404.92693379  362.84613075 -101.72406258
   24.30989159  671.98693196  906.72133936  680.63355471  351.38690404
  718.64794994  535.58298523  476.60320567  312.46512998  502.91323406
  431.83276319  969.90934488  703.47751829  968.89518699  144.17658639
  914.35812567  836.0948488   439.2089191  -409.86810374  870.76865789
 -892.79067581  671.76156856  426.07575706  362.02056333  239.16169797
  876.16460052  798.25567624  800.12232733 -445.97898151  107.86270224
  195.6706101   403.88195123  290.83236549  292.18866669  585.57916687
  437.18229328  866.35784096 -336.50825956  754.50316649  337.20924078
  154.46349451 -347.06851089  561.14082431  527.48277359 -198.19279022
 -887.3960854   901.3691879   221.04259814  492.5989245   410.27160096
 -672.39245851  551.78098369  746.43985161  357.49449021 -159.0586774 ]",0,
0,"[  63.99910813  969.85626498  112.18338226  201.35492723   62.09581571
 -597.17242739  189.57873334  638.26459234  -69.69493868  508.85338583
  695.89695656  260.02931752  318.14099992 -881.685142    403.91284619
  816.69563711 -833.54854417 -586.19192842 -185.93200874   86.39241506
  308.10704972  808.65949457 -163.12393801    8.49787604  194.39972567
  295.07976082  498.05103931  171.49814871   60.57129224  873.64453398
  668.61543323  448.21342329  369.52029477   53.95854734 -133.45369048
 -338.68947404 -849.93675053   90.57825488  220.47966086  657.7568513
  805.66827131  421.61301979   93.53581179  734.74999612  481.46881604
  348.31948563  579.23834591  636.4761119  -749.91065018  338.44546155
   94.97078907  932.6001574  -896.36866735  204.54038313  771.99971836
  129.7368679   786.06861012 -932.56476614 -166.83001309  469.25520337
  595.67942765  344.94083924  405.86532862  -53.31555006  980.81651857
   80.91517675  884.90231557  277.36213064   55.10298078 -970.95878277
  787.4778742   691.81184381  651.35363599 -392.27601553  693.94963325
    5.23405253  286.1601255  -392.30650441  513.31544534  906.88818222
  472.62163161  -66.92936673  871.00277823  747.01232494 -159.4165671
  -15.3364948   692.02336172  984.46413375  730.02454294  507.60015639
  326.77859779  486.11312372 -949.79991295 -630.795363    694.69570684]",0,
0,"[-771.14169297 -953.15421334  886.32850778 -832.3608859     4.40427304
 -420.11148205  471.82838198  761.66049001  -76.43583738 -231.16880411
  159.5227866  -377.88042043   63.49538913  795.5405262   210.43892062
  104.56472276   -8.16030671  150.7248451  -917.51614302  921.82860085
  824.37135338   82.28040244  563.36166775  525.43454175  239.39344611
  468.13738981  909.14947986   53.84320507  234.4620462   356.11721229
  912.11631788  115.83772716  196.5549599   290.04756878 -908.14277247
 -456.61703312 -429.55759153  202.65792749  221.78833259  608.67327883
  714.90068561  517.38982646  356.80592363   48.81768288  116.68885594
  960.31549707  550.41248101  672.54427479  877.13158856   97.95062116
  432.30898284  904.28799329  925.05896313  775.35269139  708.57522141
  320.53727841  914.40488498 -814.00346658  742.23713527  786.71755715
 -769.08406326  998.89438501  755.03654384 -448.51252377  638.86252854
   50.49610578  672.60029524  757.66861801  960.875732   -604.88512143
  905.06914807  731.33965912   97.99608042 -447.49706476  469.40732378
  559.59504672  593.31671834  199.8898722   579.33552965  946.63801996
  303.82680021   10.43204837  566.08011258  211.83595298  522.52612617
  357.36186751  161.96540921  897.04205864  694.766415   -592.36751962
 -299.56178248  350.22414449  -76.14549205  184.29515667 -383.32763184]",0,
0,"[-950.07688356 -305.89780382 -593.1882265  -511.80812057  947.84104578
  501.90609824  976.72008172   22.34811142   57.28899983  662.34634541
  306.77007578  913.99152396  275.37698182  150.31849106  586.26644198
  451.78430073  115.04036833  -29.79681178  589.82134442  718.01765144
   23.25646167  616.93890732  587.42684005  141.79637997  934.26074417
  166.30765581  512.44692274  851.99832127  796.93562873  385.00857813
 -639.87839726 -497.28994893  177.88865574  502.92570368 -261.28823335
 -856.70617247   79.24618086  417.98559745  504.00479035 -761.12765519
  853.2887025   781.23037651  900.16300052   66.83686117   20.53508626
 -919.96705154  733.26938802  639.13579712 -591.13659386  306.65112319
  847.01461545  846.29121298 -382.91104087  399.05306154   69.29573198
 -722.84468111   79.08148097  -63.8955227    47.20007294  295.43012234
 -689.0010827   323.31293141  587.46177584  716.22288665  741.66008269
  170.41455694  775.17957963  199.30500511  632.87927303  961.67656254
  401.4740273   484.77945874  442.85283062  219.03717407  383.38804355
  456.09183477 -120.31890256 -704.6481708    10.81648671  613.35192469
  936.58699713 -624.96961101  726.41465921 -133.5501299  -243.22098493
 -829.76361671  585.26854275  954.1122373   213.78679946 -138.66419809
 -704.83954864  701.59282042  172.90571759  999.40704117 -316.12345312]",0,
0,"[  68.24286559  140.37700191  724.78619895 -165.08632347 -669.53132244
  414.20352839 -837.362947    113.619962   -866.25930455  819.58534269
  834.97225781  879.70320977  170.70572235  100.13684278  693.4870713
  251.35149676 -407.75405298  120.97821728  792.76692094  224.32888486
  940.84046812  924.51872728 -732.88920363  301.58872439  777.30434707
  339.38122357   11.55382891   40.74689115  990.38574415   92.11378717
  267.33044489   12.12998726  573.36058253  580.15644809  457.03921113
  290.5070461  -321.37574125  271.27431558  558.17785291  210.16888853
  831.26998376  407.91106852  719.88756183  524.56049484  214.75534691
  330.67497335  227.30799025 -511.89848858  604.46059534  220.48231121
   12.33326278  757.35528796  -21.16393232  768.56036866  847.8403697
  496.68519074  340.83460284  134.27368029 -783.49711558  442.96834774
  758.53566817  631.20974847  702.07296562  509.61968176  101.68608928
  593.23580475  189.79049693  483.30205464  444.38064075  297.93657437
  902.60197852  687.22511139  252.90791973 -809.87869297  258.4791995
   73.83594421  523.59461106 -279.49837728  682.95505394  176.3030014
  180.70758517 -683.7431094     1.58828349  903.51774577 -557.29249627
 -673.13798081  751.61844328  542.57143802  959.06069614 -140.8893604
  238.73839021  214.45409245 -794.18198179  852.89592067 -576.39193159]",0,
0,"[ 732.24652777  785.38155249  -68.6722748  -339.99766483 -559.95009604
  899.82225555  980.59631432  750.06822503  985.66988266 -608.71480215
  101.99829845  952.97896545  310.36966974 -440.13820249  391.29663965
  965.48534512  152.72776547  693.91212333 -947.02482998  951.39063252
    4.30643527  717.04943657  962.24052658  699.9119775   611.48804875
  447.50713076  962.60839367  464.72515627  636.2036374   918.43033136
  353.98950764  647.11465068   49.05208854  707.2359344   790.80796147
  544.49794308 -389.41651158  165.18835979  763.65526075 -254.41411142
  105.22011708  636.76463184  908.40546843  537.52154641  850.23019568
  581.10802936  344.09432953  -52.0620929   910.17323111  997.88503773
  779.22904346  217.00395576   82.27306566  989.60393495  180.00221767
  824.75374463  476.44859995 -747.24389096  635.50648314  479.8940259
 -537.87915488  793.39424233  692.61916279  788.02465054  588.51345682
  412.61537208  603.94351317    9.15804481  792.15354917 -399.21024438
  647.56516488  441.38809713    7.4001806   588.55360171  344.46276184
  538.8504333  -921.53642208  501.42012414  690.25100022  692.17645517
  791.11251887 -226.64454795  593.09041159  687.99137404  -84.8893016
 -347.87460882  607.32270278  954.73851133  539.74097777  603.48518536
 -169.7967495   207.12801071 -494.93620157   38.70291968 -935.66166788]",0,
0,"[ 243.77005244  525.45128843  116.03854746  -69.28250048 -978.71451975
  691.68463186 -176.80472165  497.53999124 -157.81796396 -778.73612021
  965.69135168 -406.7224377    59.96078957    7.28562784  820.91157882
  997.96029236  821.13885415  277.97693172  731.12658104  815.6836289
  455.15151374  515.25196343 -654.17541908  110.54189137  359.65206356
  467.93987548  317.1703332   712.69776306  869.30150244  404.13147888
  178.74003533 -325.22591879  243.96640159  668.76952092  965.32117074
 -744.25473261  646.08860282  821.20002949  603.78446579  718.56317432
  215.59519386  555.82587188   92.44688713  380.31542139  996.93902302
 -329.1044557   820.22245702  924.24316295 -231.41107397   38.01081887
  126.28952859  662.2862773   -84.22903645  791.30836072  845.28250061
 -702.51614999  791.11027451 -178.96961475 -445.53530709  413.91700366
 -991.12357332  321.83949901  885.91036436  376.21892951  616.20461512
  163.8785072   737.00047615   47.46269428  221.2976495   -14.16774049
  399.07685432  909.98253995  173.83141067  -21.0104652  -828.47663692
  323.66179818  316.70966042 -805.20427541  351.77377212  928.01821733
  858.30674222  952.31777425  347.65166641 -151.77002988  913.3099734
  441.11077853  651.73315782  558.50318555  482.69294071   26.58626648
 -852.13060074  593.16481614 -607.94323852  891.04140196 -309.89669545]",0,
0,"[-444.4115877   985.93715705  490.74929929  691.38827359  635.82374136
 -678.28173758 -717.74983582  245.09273931 -955.07997067   98.33826765
  981.54344477  443.89924653  535.43942619 -664.59000281  508.84700397
  484.63275876 -406.50622861  405.22501637 -770.4678934   286.66381384
  937.0148886   925.49977528  -12.25752572  450.96126553  373.07060282
  489.14234201  794.5082884    19.25527936  461.19916364  956.55247839
  832.72902851  -60.95763928  333.42726502  406.37060928 -512.76911997
  886.98028274  419.09211912  593.8579925   590.97908208 -416.7170615
  983.42543644  415.49561519  978.97429663  616.12021198  430.35473629
  950.90111309  803.79066407  704.24931154    9.55386768  960.57871873
  945.00812255  734.72094941 -652.55301089  294.400793    617.27807526
  393.29676895  403.27983675  152.0093208  -628.97030168  313.36159866
 -541.44454426  680.79272421  469.0915941   434.37123453  654.79386143
  964.7696991   596.01395251  622.55048708 -668.61313761 -266.72790014
   31.05043553  713.75785047  898.36729295 -156.55302684 -141.89734126
  632.92328974  590.31594633 -856.88157492  447.42138307  591.69238763
  632.83110714 -502.79777078  372.49818145 -654.09844444  105.23434289
 -243.7247878   398.31960354   40.56630978  329.08582951  799.09335522
 -830.97151178  396.05675901 -397.6869992   908.78814297  278.72879663]",0,
0,"[-913.17646292 -269.61474876 -888.37621587 -622.56171719  756.13461152
  993.50223175  -59.85977797  682.4836605    28.29364023 -810.40010743
  472.08373845  887.61294968  375.5433684   876.19811439  421.18700743
  749.72688758  546.96048162 -325.91169083   57.45340753  546.28416714
  454.49236361  329.88472392  916.06265607  799.77081225  942.42960225
  655.34269478  105.72685628  375.36592035  965.81716282  939.01119491
  838.15247288  476.29894406  278.86777053  195.57860304 -915.09716235
 -714.03429375 -799.61601777   76.62080532  252.02871153 -214.54884197
  670.33426299   40.43063506  287.18382605  590.88447964  196.32106173
  809.8047209   583.4803754   403.43921312  348.64622418   55.38793424
  335.85561907  428.65376173  284.67306012  185.18236744  564.66217026
 -304.19283907  150.73651927   86.86528322  659.18722688  772.94743671
  808.94045616  442.98610189  131.11613088  933.19561901  696.91378972
  343.72794182  663.50372305  999.74584507 -231.75797806 -205.486696
  761.92567147  857.09007202  946.35130376 -107.89373208  -55.56861587
  317.91261464 -391.41839814  596.62832457  876.87145496  100.61008146
  643.33022767 -812.27513616  132.80404672  449.38109131  478.33637512
 -999.35427944  940.7703404   135.8777526   687.63092307   -9.42733021
 -976.77471883  242.83398649 -411.91681703  333.39472552  -18.61452598]",0,
